Comments,Gender,Reason
I had booked thru internet for 2 rooms: one for me and my husband and another one for our 3 children and they lost our reservation.,male,leisure
will never come back.,male,business
"avoid this hotel. It's noisy, dirty, expensive and staff is extremely arrogant",male,leisure
"Great hotel, yummy breakfast, nice soft comfy beds , very friendly staff , room service always quick",female,leisure
bad smell in the bathroom,female,leisure
smelly bathroom,female,leisure
i couldn't recommend your hotel to anyone.,female,leisure
was disappointed by my last stay in this hotel. Rooms were small and breakfast above average and expenseive.,male,leisure
Clean room and bed sheet,female,leisure
Clean room and nice fitness facility,female,business
Clean room convienient check in,female,leisure
clean room ready early.  Friendly staff.  Great location,female,leisure
"Clean room with comfortable beds.  The staff was very friendly.  Nice complimentary breakfast	/happy hour.",female,leisure
Clean room with very nice amendities,female,leisure
Clean rooms and staff was very attentive.,female,leisure
clean rooms comfy bed!!!,female,leisure
clean rooms nice people,female,business
"Clean rooms, comfy beds, great service, nice employees.",female,business
"Clean rooms, friendly and helpful staff.",female,leisure
Coffee unavailable in lobby,male,leisure
staff not attending coffee bar,male,business
no sound proofing in the rooms,male,leisure
Bad soundproofing,male,leisure
Not soundproofed,male,leisure
The decor and surroundings of the hotel are luxurious,female,business
